,0,1,title,paper_type,cite_number,award,names
0,-0.018378854129185305,-0.015921114833038295,D³ Data-Driven Documents,0,1.0,0,Michael Bostock;Vadim Ogievetsky;Jeffrey Heer
1,-0.014191622681883481,-0.011631637078932893,Tree-maps: a space-filling approach to the visualization of hierarchical information structures,1,0.0,0,B. Johnson;B. Shneiderman
2,-0.011573794504642354,-0.00970843478760178,Parallel coordinates: a tool for visualizing multi-dimensional geometry,1,1.0,0,A. Inselberg;B. Dimsdale
3,-0.010730206210612884,-0.009060415536365609,Hierarchical Edge Bundles: Visualization of Adjacency Relations in Hierarchical Data,0,1.0,1,Danny Holten
4,-0.0157533884000744,-0.016164803161192107,ROAMing terrain: Real-time Optimally Adapting Meshes,1,0.0,0,M. Duchaineau;M. Wolinsky;D.E. Sigeti;M.C. Miller;C. Aldrich;M.B. Mineev-Weinstein
5,-0.020732137582911092,-0.01495629479902528,Acceleration techniques for GPU-based volume rendering,1,0.0,1,J. Kruger;R. Westermann
6,-0.014025496628017789,-0.00750537609303264,Efficient simplification of point-sampled surfaces,1,1.0,0,M. Pauly;M. Gross;L.P. Kobbelt
7,-0.017677797961367196,-0.015298325365537104,Vizster: visualizing online social networks,1,0.0,0,J. Heer;D. Boyd
8,-0.03899479609337694,-0.02882143571224995,Point set surfaces,1,1.0,0,M. Alexa;J. Behr;D. Cohen-Or;S. Fleishman;D. Levin;C.T. Silva
9,-0.01752178175790161,-0.014340966584415102,ManyEyes: a Site for Visualization at Internet Scale,0,1.0,1,Fernanda B. Viegas;Martin Wattenberg;Frank van Ham;Jesse Kriss;Matt McKeon
10,-0.01592828391806174,0.0019651574400781162,Visualizing the non-visual: spatial analysis and interaction with information from text documents,1,0.0,1,J.A. Wise;J.J. Thomas;K. Pennock;D. Lantrip;M. Pottier;A. Schur;V. Crow
11,-0.02203620893159574,-0.01999160607325319,Toward a Deeper Understanding of the Role of Interaction in Information Visualization,0,2.0,0,Ji Soo Yi;Youn ah Kang;John Stasko
12,-0.015536996910773882,-0.013435859959733556,"Polaris: a system for query, analysis and visualization of multi-dimensional relational databases",1,0.0,1,C. Stolte;P. Hanrahan
13,-0.010730206210611831,-0.009060415536367165,Smooth view-dependent level-of-detail control and its application to terrain rendering,1,0.0,0,H. Hoppe
14,-0.032616571070495065,-0.03944996110733389,The asymptotic decider: resolving the ambiguity in marching cubes,1,0.0,0,G.M. Nielson;B. Hamann
15,-0.017677797961367054,-0.015298325365536379,Narrative Visualization: Telling Stories with Data,0,0.0,1,Edward Segel;Jeffrey Heer
16,-0.011755615561436708,-0.009947980887324672,Simplifying surfaces with color and texture using quadric error metrics,1,0.0,0,M. Garland;P.S. Heckbert
17,-0.019907136113323884,-0.013800929116909466,A Nested Model for Visualization Design and Validation,0,2.0,1,Tamara Munzner
18,-0.01630727115547212,-0.015309211842724353,XmdvTool: integrating multiple methods for visualizing multivariate data,1,0.0,0,M.O. Ward
19,-0.012116425306095807,-0.010206267690534659,A taxonomy of visualization techniques using the data state reference model,1,0.0,0,E.H. Chi
20,-0.024923270856652024,-0.010159001522363584,NodeTrix: a Hybrid Visualization of Social Networks,0,1.0,0,Nathalie Henry;Jean-Daniel Fekete;Michael J. McGuffin
21,-0.019550715507510384,-0.018918038293043792,Hierarchical parallel coordinates for exploration of large datasets,1,1.0,0,Ying-Huey Fua;M.O. Ward;E.A. Rundensteiner
22,-0.02472949254421954,-0.02333118668321404,Jigsaw: Supporting Investigative Analysis through Interactive Visualization,1,0.0,1,John Stasko;Carsten Gorg;Zhicheng Liu;Kanupriya Singhal
23,-0.02760063478430046,-0.0324716275038423,Interactive volume rendering using multi-dimensional transfer functions and direct manipulation widgets,1,1.0,1,J. Kniss;G. Kindlmann;C. Hansen
