,0,1,title,paper_type,cite_number,award,names
0,-30.857492,16.105974,D³ Data-Driven Documents,0,1.0,0,Michael Bostock;Vadim Ogievetsky;Jeffrey Heer
1,-30.490305,-44.23514,Tree-maps: a space-filling approach to the visualization of hierarchical information structures,1,0.0,0,B. Johnson;B. Shneiderman
2,21.769278,7.747972,Parallel coordinates: a tool for visualizing multi-dimensional geometry,1,1.0,0,A. Inselberg;B. Dimsdale
3,32.454903,-1.317363,Hierarchical Edge Bundles: Visualization of Adjacency Relations in Hierarchical Data,0,1.0,1,Danny Holten
4,13.138769,27.2405,ROAMing terrain: Real-time Optimally Adapting Meshes,1,0.0,0,M. Duchaineau;M. Wolinsky;D.E. Sigeti;M.C. Miller;C. Aldrich;M.B. Mineev-Weinstein
5,-7.501052,41.3689,Acceleration techniques for GPU-based volume rendering,1,0.0,1,J. Kruger;R. Westermann
6,19.429132,45.926197,Efficient simplification of point-sampled surfaces,1,1.0,0,M. Pauly;M. Gross;L.P. Kobbelt
7,-26.498274,-3.1414373,Vizster: visualizing online social networks,1,0.0,0,J. Heer;D. Boyd
8,19.065212,48.310265,Point set surfaces,1,1.0,0,M. Alexa;J. Behr;D. Cohen-Or;S. Fleishman;D. Levin;C.T. Silva
9,-20.27769,-29.696358,ManyEyes: a Site for Visualization at Internet Scale,0,1.0,1,Fernanda B. Viegas;Martin Wattenberg;Frank van Ham;Jesse Kriss;Matt McKeon
10,13.424759,-0.93244857,Visualizing the non-visual: spatial analysis and interaction with information from text documents,1,0.0,1,J.A. Wise;J.J. Thomas;K. Pennock;D. Lantrip;M. Pottier;A. Schur;V. Crow
11,-41.08886,-15.900218,Toward a Deeper Understanding of the Role of Interaction in Information Visualization,0,2.0,0,Ji Soo Yi;Youn ah Kang;John Stasko
12,-3.8385267,-28.16001,"Polaris: a system for query, analysis and visualization of multi-dimensional relational databases",1,0.0,1,C. Stolte;P. Hanrahan
13,27.239925,51.311623,Smooth view-dependent level-of-detail control and its application to terrain rendering,1,0.0,0,H. Hoppe
14,21.891254,44.30298,The asymptotic decider: resolving the ambiguity in marching cubes,1,0.0,0,G.M. Nielson;B. Hamann
15,4.014615,-30.148928,Narrative Visualization: Telling Stories with Data,0,0.0,1,Edward Segel;Jeffrey Heer
16,13.424791,51.10673,Simplifying surfaces with color and texture using quadric error metrics,1,0.0,0,M. Garland;P.S. Heckbert
17,-48.416832,6.566382,A Nested Model for Visualization Design and Validation,0,2.0,1,Tamara Munzner
18,-15.834987,-0.5070619,XmdvTool: integrating multiple methods for visualizing multivariate data,1,0.0,0,M.O. Ward
19,-2.7401845,14.925274,A taxonomy of visualization techniques using the data state reference model,1,0.0,0,E.H. Chi
20,-3.3456674,-16.06829,NodeTrix: a Hybrid Visualization of Social Networks,0,1.0,0,Nathalie Henry;Jean-Daniel Fekete;Michael J. McGuffin
21,1.272999,5.282197,Hierarchical parallel coordinates for exploration of large datasets,1,1.0,0,Ying-Huey Fua;M.O. Ward;E.A. Rundensteiner
22,-27.50508,-18.949408,Jigsaw: Supporting Investigative Analysis through Interactive Visualization,1,0.0,1,John Stasko;Carsten Gorg;Zhicheng Liu;Kanupriya Singhal
23,-6.4595733,48.49191,Interactive volume rendering using multi-dimensional transfer functions and direct manipulation widgets,1,1.0,1,J. Kniss;G. Kindlmann;C. Hansen
24,5.669882,1.3948321,UpSet: Visualization of Intersecting Sets,0,0.0,0,Alexander Lex;Nils Gehlenborg;Hendrik Strobelt;Romain Vuillemot;Hanspeter Pfister
25,-25.969683,-9.917016,Low-level components of analytic activity in information visualization,1,0.0,0,R. Amar;J. Eagan;J. Stasko
26,15.712872,20.308817,ThemeRiver: visualizing theme changes over time,1,0.0,0,S. Havre;B. Hetzler;L. Nowell
27,-8.68295,50.6961,Curvature-based transfer functions for direct volume rendering: methods and applications,1,1.0,0,G. Kindlmann;R. Whitaker;T. Tasdizen;T. Moller
28,-28.986385,-43.45429,"Focus+context display and navigation techniques for enhancing radial, space-filling hierarchy visualizations",1,0.0,0,J. Stasko;E. Zhang
29,19.622368,19.445028,Cluster and calendar based visualization of time series data,1,0.0,1,J.J. Van Wijk;E.R. Van Selow
30,-6.835472,37.92806,New quadric metric for simplifying meshes with appearance attributes,1,0.0,0,H. Hoppe
31,-35.288555,-13.038738,Multi-projector displays using camera-based registration,1,0.0,0,R. Raskar;M.S. Brown;Ruigang Yang;Wei-Chao Chen;G. Welch;H. Towles;B. Scales;H. Fuchs
32,-5.760872,46.21143,A haptic interaction method for volume visualization,1,0.0,0,R.S. Avila;L.M. Sobierajski
33,-8.53267,-50.711555,"SpaceTree: supporting exploration in large node link tree, design evolution and empirical evaluation",1,0.0,0,C. Plaisant;J. Grosjean;B.B. Bederson
34,-29.13328,4.6252537,Animated Transitions in Statistical Data Graphics,0,0.0,0,Jeffrey Heer;George Robertson
35,-8.261553,-35.38624,Rolling the Dice: Multidimensional Visual Exploration using Scatterplot Matrix Navigation,0,1.0,1,Niklas Elmqvist;Pierre Dragicevic;Jean-Daniel Fekete
36,11.728077,51.410553,Large scale terrain visualization using the restricted quadtree triangulation,1,0.0,0,R. Pajarola
37,11.026311,24.547647,Dynamic view-dependent simplification for polygonal models,1,0.0,0,J.C. Xia;A. Varshney
38,8.473884,9.880763,Ambient Occlusion and Edge Cueing for Enhancing Real Time Molecular Visualization,0,1.0,0,Marco Tarini;Paolo Cignoni;Claudio Montani
39,-9.340007,-46.153156,Design Study Methodology: Reflections from the Trenches and the Stacks,0,2.0,1,Michael Sedlmair;Miriah Meyer;Tamara Munzner
40,-34.944355,4.6187453,Visual Exploration of Big Spatio-Temporal Urban Data: A Study of New York City Taxi Trips,0,1.0,0,Nivan Ferreira;Jorge Poco;Huy T. Vo;Juliana Freire;Cláudio T. Silva
41,-16.404133,38.64783,Interactive ray tracing for isosurface rendering,1,0.0,1,S. Parker;P. Shirley;Y. Livnat;C. Hansen;P.-P. Sloan
42,-25.067402,-27.845299,Show Me: Automatic Presentation for Visual Analysis,0,0.0,0,Jock Mackinlay;Pat Hanrahan;Chris Stolte
43,-14.719601,16.068666,H3: laying out large directed graphs in 3D hyperbolic space,1,0.0,0,T. Munzner
44,25.698603,49.40993,Anisotropic geometric diffusion in surface processing,1,0.0,0,U. Clarenz;U. Diewald;M. Rumpf
