,0,1,title,paper_type,cite_number,award,names
0,61.89612,73.5791,D³ Data-Driven Documents,0,1.0,0,Michael Bostock;Vadim Ogievetsky;Jeffrey Heer
1,-46.67972,-17.128357,Tree-maps: a space-filling approach to the visualization of hierarchical information structures,1,0.0,0,B. Johnson;B. Shneiderman
2,-15.556905,-96.07853,Parallel coordinates: a tool for visualizing multi-dimensional geometry,1,1.0,0,A. Inselberg;B. Dimsdale
3,1.4039274,-1.785661,Hierarchical Edge Bundles: Visualization of Adjacency Relations in Hierarchical Data,0,1.0,1,Danny Holten
4,-8.230054,7.870726,ROAMing terrain: Real-time Optimally Adapting Meshes,1,0.0,0,M. Duchaineau;M. Wolinsky;D.E. Sigeti;M.C. Miller;C. Aldrich;M.B. Mineev-Weinstein
5,-31.009016,-14.911448,Acceleration techniques for GPU-based volume rendering,1,0.0,1,J. Kruger;R. Westermann
6,40.096867,43.978752,Efficient simplification of point-sampled surfaces,1,1.0,0,M. Pauly;M. Gross;L.P. Kobbelt
7,56.673065,69.562386,Vizster: visualizing online social networks,1,0.0,0,J. Heer;D. Boyd
8,45.32124,-51.006638,Point set surfaces,1,1.0,0,M. Alexa;J. Behr;D. Cohen-Or;S. Fleishman;D. Levin;C.T. Silva
9,-74.45449,53.575596,ManyEyes: a Site for Visualization at Internet Scale,0,1.0,1,Fernanda B. Viegas;Martin Wattenberg;Frank van Ham;Jesse Kriss;Matt McKeon
10,2.3074071,18.23705,Visualizing the non-visual: spatial analysis and interaction with information from text documents,1,0.0,1,J.A. Wise;J.J. Thomas;K. Pennock;D. Lantrip;M. Pottier;A. Schur;V. Crow
11,-61.847042,-11.293489,Toward a Deeper Understanding of the Role of Interaction in Information Visualization,0,2.0,0,Ji Soo Yi;Youn ah Kang;John Stasko
12,57.82501,45.242138,"Polaris: a system for query, analysis and visualization of multi-dimensional relational databases",1,0.0,1,C. Stolte;P. Hanrahan
13,1.4039274,-1.785661,Smooth view-dependent level-of-detail control and its application to terrain rendering,1,0.0,0,H. Hoppe
14,-80.30558,-59.67343,The asymptotic decider: resolving the ambiguity in marching cubes,1,0.0,0,G.M. Nielson;B. Hamann
15,56.673065,69.562386,Narrative Visualization: Telling Stories with Data,0,0.0,1,Edward Segel;Jeffrey Heer
16,-68.85391,-77.856606,Simplifying surfaces with color and texture using quadric error metrics,1,0.0,0,M. Garland;P.S. Heckbert
17,-96.10466,-24.423384,A Nested Model for Visualization Design and Validation,0,2.0,1,Tamara Munzner
